Order_ID,Order_Date,Product_ID,Customer_ID,Rep_ID,Region,Units_Sold,Unit_Price_NGN,Discount_Pct
ORD00031,2022-11-07,PRD0002,CUS0046,REP007,Abuja,37,480,0
ORD00032,2024-05-02,PRD0005,CUS0099,REP010,Ibadan,72,1100,0.05
ORD00033,2024-07-11,PRD0032,CUS0093,REP003,Kano,45,3800,0.05
ORD00034,2022-05-04,PRD0027,CUS0019,REP010,Ibadan,32,2200,0.1
ORD00035,2023-03-09,PRD0005,CUS0027,REP002,Port Harcourt,76,1100,0
ORD00036,2022-11-17,PRD0018,CUS0070,REP009,Lagos,66,490,0
ORD00037,2022-03-08,PRD0019,CUS0046,REP003,Abuja,64,820,0
ORD00038,2023-04-24,PRD0003,CUS0067,REP004,Port Harcourt,34,520,0.1
ORD00039,2022-11-02,PRD0002,CUS0012,REP004,Port Harcourt,107,480,0
ORD00040,2023-08-15,PRD0018,CUS0073,REP001,Kano,95,490,0.05
ORD00041,2023-07-12,PRD0009,CUS0079,REP010,Ibadan,82,420,0
ORD00042,2024-06-03,PRD0002,CUS0002,REP006,Port Harcourt,92,480,0.15
ORD00043,2022-02-12,PRD0010,CUS0027,REP002,Port Harcourt,89,430,0.05
ORD00044,2023-07-24,PRD0016,CUS0066,REP007,Abuja,68,1850,0
ORD00045,2024-08-20,PRD0007,CUS0052,REP008,Port Harcourt,19,280,0.15
ORD00046,2022-11-26,PRD0006,CUS0077,REP008,Port Harcourt,57,950,0.15
ORD00047,2022-03-17,PRD0006,CUS0053,REP001,Kano,20,950,0.15
ORD00048,2024-04-07,PRD0010,CUS0089,REP005,Ibadan,12,430,0
ORD00049,2024-11-27,PRD0009,CUS0102,REP008,Port Harcourt,12,420,0
ORD00050,2023-07-01,PRD0009,CUS0049,REP005,Ibadan,95,420,0.05
ORD00051,2022-09-06,PRD0022,CUS0095,REP010,Lagos,96,750,0
ORD00052,2023-09-29,PRD0009,CUS0089,REP005,Ibadan,34,420,0.15
ORD00053,2022-08-21,PRD0023,CUS0103,REP001,Kano,69,220,0.1
ORD00054,2023-08-21,PRD0009,CUS0044,REP010,Ibadan,67,420,0.05
ORD00055,2023-05-15,PRD0008,CUS0023,REP007,Kano,82,780,0.05
ORD00056,2022-10-07,PRD0007,CUS0065,REP009,Lagos,106,280,0.05
ORD00057,2023-07-02,PRD0023,CUS0045,REP009,Lagos,80,220,0.1
ORD00058,2024-09-29,PRD0010,CUS0086,REP003,Abuja,48,430,0.05
ORD00059,2024-02-12,PRD0031,CUS0033,REP003,Kano,36,4200,0.05
ORD00060,2024-02-24,PRD0007,CUS0006,REP003,Abuja,66,280,0.1
ORD00061,2024-02-20,PRD0031,CUS0103,REP007,Kano,69,4200,0
ORD00062,2022-09-16,PRD0024,CUS0054,REP010,Ibadan,117,180,0.15
ORD00063,2024-06-20,PRD0001,CUS0070,REP010,Lagos,24,650,0.05
ORD00064,2022-11-13,PRD0007,CUS0040,REP009,Lagos,94,280,0.05
ORD00065,2022-06-14,PRD0015,CUS0052,REP008,Port Harcourt,119,1200,0.15
ORD00066,2024-09-26,PRD0002,CUS0099,REP005,Ibadan,86,480,0.1
ORD00067,2023-08-12,PRD0009,CUS0011,REP007,Abuja,18,420,0.15
ORD00068,2022-07-25,PRD0025,CUS0048,REP001,Kano,11,420,0
ORD00069,2022-04-25,PRD0009,CUS0057,REP006,Port Harcourt,37,420,0.05
ORD00070,2024-04-23,PRD0004,CUS0029,REP010,Ibadan,16,350,0.05
ORD00071,2024-02-23,PRD0010,CUS0039,REP010,Ibadan,80,430,0
ORD00072,2023-04-21,PRD0010,CUS0043,REP007,Kano,91,430,0
ORD00073,2024-08-10,PRD0009,CUS0012,REP004,Port Harcourt,50,420,0.05
ORD00074,2023-09-05,PRD0010,CUS0043,REP007,Kano,44,430,0
ORD00075,2024-02-27,PRD0008,CUS0038,REP001,Kano,51,780,0.05
ORD00076,2023-08-29,PRD0006,CUS0062,REP002,Port Harcourt,78,950,0.15
ORD00077,2022-04-11,PRD0023,CUS0079,REP010,Ibadan,42,220,0.15
ORD00078,2023-04-17,PRD0016,CUS0039,REP009,Ibadan,85,1850,0
ORD00079,2022-10-08,PRD0001,CUS0100,REP010,Lagos,106,650,0.05
ORD00080,2022-03-10,PRD0002,CUS0024,REP009,Ibadan,43,480,0
ORD00081,2024-04-30,PRD0021,CUS0021,REP001,Abuja,118,350,0
ORD00082,2024-12-23,PRD0006,CUS0029,REP009,Ibadan,111,950,0.05
ORD00083,2023-08-28,PRD0029,CUS0072,REP002,Port Harcourt,24,2600,0.15
ORD00084,2023-04-08,PRD0002,CUS0058,REP007,Kano,56,480,0
ORD00085,2023-06-26,PRD0008,CUS0074,REP005,Ibadan,101,780,0.1
ORD00086,2023-06-21,PRD0027,CUS0104,REP009,Ibadan,19,2200,0.1
ORD00087,2023-04-24,PRD0025,CUS0098,REP001,Kano,77,420,0
ORD00088,2023-03-30,PRD0025,CUS0070,REP010,Lagos,44,420,0.1
ORD00089,2024-04-16,PRD0027,CUS0010,REP005,Lagos,44,2200,0.05
ORD00090,2022-08-26,PRD0003,CUS0085,REP005,Lagos,64,520,0
ORD00091,2024-05-08,PRD0025,CUS0024,REP010,Ibadan,89,420,0
ORD00092,2024-09-29,PRD0001,CUS0044,REP009,Ibadan,53,650,0
ORD00093,2024-06-27,PRD0002,CUS0058,REP001,Kano,93,480,0
ORD00094,2024-01-05,PRD0004,CUS0040,REP009,Lagos,21,350,0.15
ORD00095,2024-07-20,PRD0016,CUS0030,REP010,Lagos,82,1850,0
ORD00096,2022-04-14,PRD0021,CUS0022,REP004,Port Harcourt,32,350,0
ORD00097,2023-03-01,PRD0007,CUS0039,REP005,Ibadan,24,280,0.15
ORD00098,2022-01-06,PRD0011,CUS0022,REP004,Port Harcourt,108,380,0
ORD00099,2022-08-14,PRD0008,CUS0005,REP005,Lagos,106,780,0
ORD00100,2023-10-26,PRD0002,CUS0040,REP005,Lagos,100,480,0.05
ORD00101,2024-12-13,PRD0010,CUS0015,REP010,Lagos,105,430,0
ORD00102,2024-11-17,PRD0011,CUS0074,REP005,Ibadan,84,380,0
ORD00103,2024-12-03,PRD0029,CUS0102,REP008,Port Harcourt,13,2600,0.05
ORD00104,2024-04-02,PRD0010,CUS0018,REP007,Kano,62,430,0
ORD00105,2022-06-15,PRD0003,CUS0012,REP004,Port Harcourt,85,520,0.1
ORD00106,2023-10-28,PRD0006,CUS0083,REP007,Kano,70,950,0.05
ORD00107,2024-05-31,PRD0024,CUS0015,REP010,Lagos,89,180,0.15
ORD00108,2023-03-17,PRD0009,CUS0038,REP003,Kano,111,420,0.05
ORD00109,2024-03-27,PRD0007,CUS0018,REP007,Kano,46,280,0.1
ORD00110,2023-06-07,PRD0002,CUS0077,REP004,Port Harcourt,112,480,0
ORD00111,2022-07-10,PRD0022,CUS0058,REP001,Kano,77,750,0
ORD00112,2023-11-07,PRD0024,CUS0055,REP009,Lagos,,180,0.05
ORD00113,2022-04-16,PRD0003,CUS0057,REP006,Port Harcourt,70,520,0
ORD00114,2022-11-13,PRD0008,CUS0018,REP001,Kano,77,780,0
ORD00115,2022-08-24,PRD0023,CUS0067,REP004,Port Harcourt,104,220,0.15
ORD00116,2022-02-23,PRD0001,CUS0044,REP010,Ibadan,40,650,0.1
ORD00117,2023-09-25,PRD0004,CUS0002,REP006,Port Harcourt,24,350,0.05
ORD00118,2024-03-31,PRD0030,CUS0100,REP005,Lagos,17,3500,0.1
ORD00119,2024-12-22,PRD0010,CUS0066,REP003,Abuja,26,430,0
ORD00120,2023-10-01,PRD0004,CUS0007,REP002,Port Harcourt,102,350,0.05
ORD00121,2022-04-12,PRD0017,CUS0070,REP009,Lagos,68,900,0.05
ORD00122,2024-06-24,PRD0020,CUS0033,REP003,Kano,20,1650,0
ORD00123,2024-05-30,PRD0018,CUS0105,REP009,Lagos,68,490,0.05
ORD00124,2023-09-24,PRD0031,CUS0060,REP005,Lagos,13,4200,0
ORD00125,2023-02-23,PRD0021,CUS0022,REP004,Port Harcourt,43,350,0
ORD00126,2022-09-03,PRD0004,CUS0065,REP009,Lagos,54,350,0.05
ORD00127,2023-04-17,PRD0002,CUS0059,REP010,Ibadan,116,480,0.1
ORD00128,2022-03-28,PRD0026,CUS0073,REP001,Kano,116,550,0
ORD00129,2024-05-29,PRD0009,CUS0104,REP009,Ibadan,20,420,0.05
ORD00130,2022-02-12,PRD0010,CUS0097,REP004,Port Harcourt,94,430,0
ORD00131,2022-06-30,PRD0009,CUS0038,REP001,Kano,57,420,0.05
ORD00132,2022-06-11,PRD0005,CUS0053,REP003,Kano,105,1100,0
ORD00133,2022-06-06,PRD0011,CUS0019,REP010,Ibadan,30,380,0.15
ORD00134,2023-12-17,PRD0003,CUS0037,REP004,Port Harcourt,38,520,0
ORD00135,2022-12-22,PRD0002,CUS0104,REP005,Ibadan,104,480,0.1
ORD00136,2024-10-08,PRD0009,CUS0093,REP007,Kano,118,420,0.05
ORD00137,2023-10-24,PRD0002,CUS0072,REP004,Port Harcourt,62,480,0.1
ORD00138,2023-09-13,PRD0011,CUS0057,REP002,Port Harcourt,45,380,0.05
ORD00139,2024-07-14,PRD0023,CUS0055,REP005,Lagos,15,220,0.1
ORD00140,2022-07-04,PRD0008,CUS0084,REP010,Ibadan,80,780,0.05
ORD00141,2022-03-26,PRD0004,CUS0103,REP007,Kano,83,350,0.05
ORD00142,2024-10-23,PRD0003,CUS0071,REP001,Abuja,113,520,0
ORD00143,2022-06-22,PRD0001,CUS0029,REP010,Ibadan,96,650,0.05
ORD00144,2024-06-18,PRD0004,CUS0099,REP010,Ibadan,53,350,0
ORD00145,2024-03-04,PRD0002,CUS0098,REP003,Kano,86,480,0.1
ORD00146,2023-11-17,PRD0012,CUS0015,REP009,Lagos,55,580,0
ORD00147,2023-06-01,PRD0002,CUS0054,REP005,Ibadan,90,480,0
ORD00148,2023-12-18,PRD0014,CUS0022,REP008,Port Harcourt,16,620,0
ORD00149,2024-02-11,PRD0002,CUS0082,REP004,Port Harcourt,91,480,0.05
ORD00150,2024-11-07,PRD0007,CUS0057,REP002,Port Harcourt,33,280,0
ORD00151,2024-09-22,PRD0004,CUS0021,REP001,Abuja,43,350,0.15
ORD00152,2022-07-27,PRD0001,CUS0084,REP010,Ibadan,49,650,0.15
ORD00153,2022-09-26,PRD0004,CUS0024,REP009,Ibadan,112,350,0.1
ORD00154,2022-12-06,PRD0008,CUS0068,REP001,Kano,98,780,0
ORD00155,2024-06-28,PRD0005,CUS0074,REP009,Ibadan,36,1100,0
ORD00156,2024-08-18,PRD0027,CUS0106,REP003,Abuja,62,2200,0.05
ORD00157,2023-08-01,PRD0009,CUS0083,REP007,Kano,26,420,0.15
ORD00158,2023-02-13,PRD0002,CUS0044,REP005,Ibadan,67,480,0.15
ORD00159,2024-01-31,PRD0024,CUS0084,REP005,Ibadan,42,180,0
ORD00160,2022-11-25,PRD0003,CUS0082,REP008,Port Harcourt,61,520,0
ORD00161,2023-03-31,PRD0009,CUS0003,REP003,Kano,56,420,0.05
ORD00162,2024-02-05,PRD0008,CUS0011,REP003,Abuja,9,780,0
ORD00163,2022-07-22,PRD0001,CUS0022,REP004,Port Harcourt,112,650,0.05
ORD00164,2022-10-12,PRD0001,CUS0098,REP003,Kano,16,650,0
ORD00165,2023-06-09,PRD0027,CUS0086,REP001,Abuja,83,2200,0.05
ORD00166,2024-05-16,PRD0007,CUS0035,REP009,Lagos,12,280,0
ORD00167,2024-05-09,PRD0003,CUS0014,REP009,Ibadan,69,520,0.05
ORD00168,2022-02-03,PRD0019,CUS0039,REP010,Ibadan,43,820,0.05
ORD00169,2022-01-04,PRD0013,CUS0039,REP009,Ibadan,29,560,0.1
ORD00170,2022-06-25,PRD0028,CUS0014,REP009,Ibadan,75,2800,0.05
ORD00171,2024-11-05,PRD0024,CUS0064,REP005,Ibadan,11,180,0.1
ORD00172,2024-03-03,PRD0008,CUS0002,REP006,Port Harcourt,14,780,0
ORD00173,2023-05-09,PRD0003,CUS0050,REP010,Lagos,51,520,0.05
ORD00174,2023-11-25,PRD0031,CUS0071,REP007,Abuja,67,4200,0.1
ORD00175,2023-01-09,PRD0001,CUS0071,REP001,Abuja,31,650,0
ORD00176,2023-02-13,PRD0011,CUS0045,REP009,Lagos,110,380,0.05
ORD00177,2024-08-27,PRD0004,CUS0102,REP002,Port Harcourt,51,350,0.15
ORD00178,2022-04-08,PRD0022,CUS0017,REP006,Port Harcourt,61,750,0.05
ORD00179,2024-06-19,PRD0010,CUS0028,REP003,Kano,69,430,0
ORD00180,2024-11-29,PRD0002,CUS0067,REP002,Port Harcourt,83,480,0.15
ORD00181,2023-01-05,PRD0003,CUS0054,REP009,Ibadan,47,520,0.1
ORD00182,2023-08-29,PRD0019,CUS0097,REP008,Port Harcourt,27,820,0.1
ORD00183,2024-06-28,PRD0019,CUS0007,REP008,Port Harcourt,51,820,0.05
ORD00184,2024-06-09,PRD0018,CUS0012,REP002,Port Harcourt,57,490,0
ORD00185,2024-11-16,PRD0023,CUS0021,REP001,Abuja,92,220,0.15
ORD00186,2024-06-16,PRD0005,CUS0015,REP005,Lagos,88,1100,0
ORD00187,2024-01-12,PRD0014,CUS0008,REP007,Kano,92,620,0.05
ORD00188,2024-01-30,PRD0013,CUS0012,REP008,Port Harcourt,73,560,0
ORD00189,2024-03-26,PRD0029,CUS0037,REP006,Port Harcourt,9,2600,0.1
ORD00190,2023-01-17,PRD0026,CUS0063,REP007,Kano,21,550,0
ORD00191,2023-06-18,PRD0006,CUS0098,REP001,Kano,68,950,0
ORD00192,2022-09-09,PRD0004,CUS0071,REP001,Abuja,97,350,0.05
ORD00193,2022-06-29,PRD0011,CUS0012,REP006,Port Harcourt,43,380,0
ORD00194,2022-11-19,PRD0005,CUS0081,REP003,Abuja,31,1100,0.15
ORD00195,2022-10-12,PRD0008,CUS0001,REP003,Abuja,79,780,0
ORD00196,2024-08-15,PRD0025,CUS0099,REP005,Ibadan,14,420,0
ORD00197,2024-03-26,PRD0021,CUS0068,REP007,Kano,111,350,0.05
ORD00198,2022-06-01,PRD0002,CUS0101,REP003,Abuja,65,480,0.1
ORD00199,2024-11-25,PRD0016,CUS0087,REP004,Port Harcourt,29,1850,0.15
ORD00200,2022-09-22,PRD0023,CUS0008,REP007,Kano,72,220,0
ORD00201,2023-09-15,PRD0026,CUS0051,REP001,Abuja,34,550,0
ORD00202,2024-11-28,PRD0004,CUS0042,REP002,Port Harcourt,76,350,0
ORD00203,2022-09-14,PRD0016,CUS0082,REP002,Port Harcourt,81,1850,0.05
ORD00204,2022-11-12,PRD0019,CUS0096,REP007,Abuja,83,820,0
ORD00205,2022-03-26,PRD0027,CUS0010,REP005,Lagos,104,2200,0.05
ORD00206,2023-06-27,PRD0015,CUS0066,REP007,Abuja,9,1200,0.05
ORD00207,2023-08-17,PRD0022,CUS0037,REP008,Port Harcourt,93,750,0.05
ORD00208,2023-09-02,PRD0004,CUS0008,REP001,Kano,59,350,0.05
ORD00209,2024-08-09,PRD0003,CUS0096,REP003,Abuja,116,520,0.1
ORD00210,2023-10-16,PRD0021,CUS0022,REP008,Port Harcourt,71,350,0.05
ORD00211,2022-08-06,PRD0003,CUS0072,REP004,Port Harcourt,63,520,0
ORD00212,2022-10-16,PRD0027,CUS0045,REP005,Lagos,116,2200,0.05
ORD00213,2024-05-06,PRD0026,CUS0051,REP001,Abuja,98,550,0
ORD00214,2023-01-24,PRD0010,CUS0081,REP003,Abuja,118,430,0
ORD00215,2024-10-15,PRD0011,CUS0060,REP005,Lagos,36,380,0
ORD00216,2023-12-24,PRD0010,CUS0045,REP005,Lagos,118,430,0.15
ORD00217,2024-08-21,PRD0009,CUS0017,REP002,Port Harcourt,118,420,0
ORD00218,2024-01-20,PRD0009,CUS0008,REP003,Kano,78,420,0.05
ORD00219,2023-02-03,PRD0008,CUS0012,REP006,Port Harcourt,63,780,0.15
ORD00220,2023-07-27,PRD0003,CUS0099,REP010,Ibadan,18,520,0.05
ORD00221,2024-02-04,PRD0004,CUS0022,REP006,Port Harcourt,71,350,0.05
ORD00222,2024-10-21,PRD0003,CUS0010,REP005,Lagos,48,520,0.15
ORD00223,2024-08-28,PRD0014,CUS0024,REP009,Ibadan,71,620,0
ORD00224,2023-11-03,PRD0008,CUS0029,REP009,Ibadan,84,780,0.1
ORD00225,2023-09-05,PRD0023,CUS0084,REP009,Ibadan,74,220,0.05
ORD00226,2023-09-06,PRD0007,CUS0058,REP001,Kano,20,280,0.05
ORD00227,2023-09-23,PRD0006,CUS0075,REP010,Lagos,89,950,0.15
ORD00228,2023-04-12,PRD0004,CUS0075,REP010,Lagos,86,350,0.1
ORD00229,2024-02-18,PRD0001,CUS0036,REP007,Abuja,95,650,0
ORD00230,2023-01-26,PRD0009,CUS0050,REP009,Lagos,58,420,0.1
ORD00231,2023-02-22,PRD0026,CUS0098,REP007,Kano,117,550,0.15
ORD00232,2022-05-08,PRD0012,CUS0031,REP007,Abuja,90,580,0.05
ORD00233,2024-12-12,PRD0010,CUS0028,REP003,Kano,74,430,0
ORD00234,2023-12-27,PRD0028,CUS0032,REP008,Port Harcourt,41,2800,N/A
ORD00235,2023-09-04,PRD0019,CUS0046,REP003,Abuja,94,820,0.1
ORD00236,2024-09-28,PRD0012,CUS0057,REP008,Port Harcourt,107,580,0.1
ORD00237,2023-07-15,PRD0018,CUS0092,REP002,Port Harcourt,54,490,0.05
ORD00238,2023-12-08,PRD0006,CUS0006,REP003,Abuja,97,950,0
ORD00239,2023-12-11,PRD0020,CUS0043,REP007,Kano,33,1650,0
ORD00240,2023-07-10,PRD0003,CUS0044,REP010,Ibadan,84,520,0.1
ORD00241,2023-05-06,PRD0025,CUS0106,REP001,Abuja,34,420,0.1
ORD00242,2023-04-22,PRD0007,CUS0065,REP005,Lagos,66,280,0
ORD00243,2022-10-09,PRD0009,CUS0025,REP010,Lagos,118,420,0.05
ORD00244,2024-09-04,PRD0006,CUS0051,REP003,Abuja,13,950,0.15
ORD00245,2022-07-03,PRD0020,CUS0089,REP005,Ibadan,114,1650,0
ORD00246,2022-12-25,PRD0032,CUS0008,REP001,Kano,56,3800,0.15
ORD00247,2024-10-11,PRD0024,CUS0046,REP007,Abuja,7,180,0
ORD00248,2022-08-08,PRD0031,CUS0072,REP006,Port Harcourt,75,4200,0.05
ORD00249,2024-10-08,PRD0006,CUS0071,REP007,Abuja,109,950,0
ORD00250,2023-11-09,PRD0016,CUS0071,REP007,Abuja,97,1850,0
ORD00251,2022-01-29,PRD0018,CUS0092,REP006,Port Harcourt,30,490,0
ORD00252,2024-04-10,PRD0002,CUS0053,REP007,Kano,91,480,0
ORD00253,2023-01-14,PRD0026,CUS0051,REP003,Abuja,6,550,0
ORD00254,2024-02-25,PRD0028,CUS0041,REP003,Abuja,44,2800,0.05
ORD00255,2022-01-24,PRD0002,CUS0037,REP006,Port Harcourt,21,480,0.05
ORD00256,2023-09-21,PRD0011,CUS0106,REP003,Abuja,120,380,0.1
ORD00257,2023-09-29,PRD0008,CUS0045,REP010,Lagos,34,780,0
ORD00258,2022-10-01,PRD0020,CUS0073,REP001,Kano,83,1650,0
ORD00259,2024-05-01,PRD0022,CUS0089,REP009,Ibadan,111,750,0
ORD00260,2023-05-22,PRD0009,CUS0084,REP005,Ibadan,96,420,0
ORD00261,2022-06-09,PRD0023,CUS0009,REP005,Ibadan,70,220,0
ORD00262,2022-11-03,PRD0009,CUS0081,REP003,Abuja,93,420,0
ORD00263,2024-09-28,PRD0022,CUS0070,REP010,Lagos,64,750,0
ORD00264,2024-11-17,PRD0002,CUS0093,REP003,Kano,65,480,0.1
ORD00265,2023-09-24,PRD0022,CUS0040,REP009,Lagos,101,750,0
ORD00266,2022-05-30,PRD0019,CUS0055,REP009,Lagos,75,820,0
ORD00267,2022-05-22,PRD0009,CUS0048,REP001,Kano,104,420,0
ORD00268,2024-05-10,PRD0024,CUS0072,REP008,Port Harcourt,54,180,0.05
ORD00269,2022-06-14,PRD0024,CUS0104,REP005,Ibadan,21,180,0
ORD00270,2024-03-15,PRD0023,CUS0039,REP005,Ibadan,102,220,0
ORD00271,2023-09-04,PRD0009,CUS0088,REP007,Kano,54,420,0.15
ORD00272,2023-04-16,PRD0004,CUS0056,REP003,Abuja,30,350,0.1
ORD00273,2022-08-20,PRD0015,CUS0065,REP010,Lagos,119,1200,0
ORD00274,2023-05-08,PRD0014,CUS0016,REP001,Abuja,63,620,0.05
ORD00275,2022-04-10,PRD0009,CUS0006,REP007,Abuja,35,420,0.05
ORD00276,2023-03-21,PRD0032,CUS0080,REP005,Lagos,35,3800,0.15
ORD00277,2023-10-16,PRD0005,CUS0054,REP010,Ibadan,118,1100,0
ORD00278,2024-12-03,PRD0006,CUS0046,REP003,Abuja,77,950,0.05
ORD00279,2022-12-25,PRD0001,CUS0078,REP007,Kano,50,650,0.1
ORD00280,2024-02-20,PRD0009,CUS0069,REP009,Ibadan,44,420,0.05
ORD00281,2023-01-12,PRD0023,CUS0039,REP009,Ibadan,44,220,0.15
ORD00282,2022-10-23,PRD0009,CUS0088,REP001,Kano,59,420,0.05
ORD00283,2024-12-21,PRD0006,CUS0036,REP003,Abuja,48,950,0.1
ORD00284,2022-06-11,PRD0011,CUS0013,REP003,Kano,112,380,0
ORD00285,2022-04-16,PRD0014,CUS0097,REP008,Port Harcourt,117,620,0
ORD00286,2023-01-21,PRD0005,CUS0089,REP010,Ibadan,32,1100,0.15
ORD00287,2023-11-13,PRD0026,CUS0032,REP002,Port Harcourt,100,550,0
ORD00288,2024-09-07,PRD0019,CUS0096,REP007,Abuja,56,820,0
ORD00289,2023-10-21,PRD0011,CUS0072,REP008,Port Harcourt,51,380,0
ORD00290,2023-06-20,PRD0002,CUS0072,REP008,Port Harcourt,98,480,0.05
ORD00291,2023-10-18,PRD0009,CUS0051,REP003,Abuja,78,420,0.15
ORD00292,2023-03-30,PRD0012,CUS0041,REP001,Abuja,80,580,0.05
ORD00293,2024-05-05,PRD0007,CUS0032,REP004,Port Harcourt,54,280,0.05
ORD00294,2023-05-19,PRD0027,CUS0103,REP007,Kano,49,2200,0
ORD00295,2024-09-27,PRD0020,CUS0028,REP003,Kano,51,1650,0
ORD00296,2022-10-14,PRD0026,CUS0029,REP009,Ibadan,75,550,0.1
ORD00297,2022-05-01,PRD0027,CUS0014,REP005,Ibadan,91,2200,0
ORD00298,2022-01-14,PRD0005,CUS0103,REP001,Kano,96,1100,0
ORD00299,2022-01-19,PRD0008,CUS0071,REP007,Abuja,85,780,0.1
ORD00300,2024-09-16,PRD0011,CUS0003,REP001,Kano,58,380,0
ORD00301,2022-02-04,PRD0011,CUS0044,REP010,Ibadan,42,380,0
ORD00302,2024-10-25,PRD0026,CUS0018,REP001,Kano,73,550,0
ORD00303,2023-05-09,PRD0006,CUS0081,REP007,Abuja,51,950,0
ORD00304,2024-03-23,PRD0010,CUS0060,REP009,Lagos,37,430,0.1
ORD00305,2023-04-08,PRD0032,CUS0102,REP002,Port Harcourt,89,3800,0.15
ORD00306,2022-03-06,PRD0008,CUS0060,REP009,Lagos,66,780,0
ORD00307,2022-01-20,PRD0023,CUS0076,REP001,Abuja,88,220,0.15
ORD00308,2023-11-10,PRD0026,CUS0084,REP005,Ibadan,35,550,0
ORD00309,2024-08-31,PRD0018,CUS0012,REP002,Port Harcourt,41,490,0.05
ORD00310,2022-03-09,PRD0029,CUS0001,REP003,Abuja,81,2600,0
ORD00311,2024-03-26,PRD0012,CUS0025,REP009,Lagos,78,580,0.15
ORD00312,2024-03-07,PRD0020,CUS0064,REP009,Ibadan,23,1650,0.15
ORD00313,2022-06-10,PRD0002,CUS0059,REP010,Ibadan,61,480,0
ORD00314,2022-06-05,PRD0001,CUS0052,REP008,Port Harcourt,40,650,0.15
ORD00315,2024-07-11,PRD0012,CUS0058,REP001,Kano,54,580,0.05
ORD00316,2023-01-16,PRD0002,CUS0064,REP010,Ibadan,85,480,0
ORD00317,2023-05-20,PRD0004,CUS0040,REP005,Lagos,97,350,0.15
ORD00318,2022-11-12,PRD0003,CUS0058,REP003,Kano,6,520,0
ORD00319,2024-06-29,PRD0003,CUS0017,REP006,Port Harcourt,29,520,0.05
ORD00320,2024-07-08,PRD0009,CUS0084,REP010,Ibadan,9,420,0
ORD00321,2023-12-26,PRD0014,CUS0099,REP005,Ibadan,47,620,0.15
ORD00322,2024-02-28,PRD0008,CUS0065,REP009,Lagos,16,780,0.1
ORD00323,2023-05-13,PRD0018,CUS0029,REP010,Ibadan,27,490,0
ORD00324,2023-07-05,PRD0003,CUS0077,REP006,Port Harcourt,27,520,0.05
ORD00325,2023-07-20,PRD0021,CUS0078,REP003,Kano,52,350,0
ORD00326,2023-05-21,PRD0004,CUS0098,REP007,Kano,19,350,0
ORD00327,2023-09-16,PRD0023,CUS0050,REP009,Lagos,54,220,0.15
ORD00328,2023-11-06,PRD0022,CUS0068,REP003,Kano,116,750,0.1
ORD00329,2022-10-06,PRD0027,CUS0097,REP006,Port Harcourt,31,2200,0.05
